#err,logdens
0.203,-4.495834283534277
0.20400000000000001,-3.8399762683901653
0.20500000000000002,-3.2802620702482006
0.20600000000000002,-2.78994784145039
0.20700000000000002,-2.346233113804187
0.20800000000000002,-1.9495099526634476
0.209,-1.5940159937500091
0.21,-1.2741211670535932
0.211,-0.9841357403974254
0.212,-0.7227263473460468
0.213,-0.48431543147620815
0.214,-0.26636176071279216
0.215,-0.06949160984117064
0.216,0.109397823952742
0.217,0.27321188163157295
0.218,0.4211369288859874
0.219,0.5546748068904392
0.22,0.6757125386215055
0.221,0.7854006892118939
0.222,0.8845337757789569
0.223,0.9746247750808088
0.224,1.0560694972039144
0.225,1.1293703011377936
0.226,1.1952857046866328
0.227,1.2549744268706284
0.228,1.3086040970910915
0.229,1.3571223180360086
0.23,1.4013373470542465
0.231,1.4414593624356495
0.232,1.4777369989490072
0.233,1.511357537576023
0.234,1.5414918246946794
0.23500000000000001,1.5683451421599681
0.23600000000000002,1.592722512849937
0.23700000000000002,1.614730402672956
0.23800000000000002,1.6347289649676409
0.23900000000000002,1.6527575463593802
0.24,1.6693177206947407
0.241,1.6841136622585342
0.242,1.6972262725809362
0.243,1.7089302781600377
0.244,1.7188708568379898
0.245,1.727505095359879
0.246,1.735083542458062
0.247,1.7418231935592754
0.248,1.747260292528436
0.249,1.751672504382844
0.25,1.754897025427523
0.251,1.7573247791763489
0.252,1.7592656226182672
0.253,1.7603123063916026
0.254,1.7610567936490806
0.255,1.7613303052476486
0.256,1.7613342284153735
0.257,1.760910118478682
0.258,1.760337982353823
0.259,1.7593474085682654
0.26,1.757637331455813
0.261,1.7556474644785052
0.262,1.7534593442749422
0.263,1.750535838416381
0.264,1.7469193572558641
0.265,1.7428657029011578
0.266,1.7381109007328472
0.267,1.7328440699924794
0.268,1.727425354615951
0.269,1.7216666711994346
0.27,1.7159629053995484
0.271,1.7105570354378425
0.272,1.7051770328455813
0.273,1.6995181461371782
0.274,1.693809205586744
0.275,1.6878753540763949
0.276,1.6819359453838967
0.277,1.6762188295730045
0.278,1.6706509477060774
0.279,1.664154208544991
0.28,1.6573798786188245
0.281,1.6505426639432574
0.28200000000000003,1.6435141846775547
0.28300000000000003,1.6356375385652537
0.28400000000000003,1.6273773692118478
0.28500000000000003,1.6189130235393119
0.28600000000000003,1.6104391736173849
0.28700000000000003,1.601949076114762
0.28800000000000003,1.5938103492999414
0.289,1.5855111305416099
0.29,1.5769400037942933
0.291,1.5679641530700597
0.292,1.558956169162661
0.293,1.5505008292884543
0.294,1.542499479780771
0.295,1.533899991039581
0.296,1.5251440290467695
0.297,1.5162973346136663
0.298,1.507782624363747
0.299,1.4992795106404042
0.3,1.490393883697278
0.301,1.4813243728165926
0.302,1.4723537869342014
0.303,1.4632411636817348
0.304,1.454754177597076
0.305,1.4464706424818292
0.306,1.4381310359508515
0.307,1.4294193850865202
0.308,1.4204733087123902
0.309,1.411694101736849
0.31,1.4031002347769892
0.311,1.3941699810883197
